Sifrit der vil chvne	dannen gie zehant
do warfer von im balde	sin wafen	daz was lanch
den sinen kamerære	wolder niht slahen tot
er schonte siner zvhte	als im sin tvgent gebot
Mit starchen sinen handen	lief er Albrichen an
do vieng er bi dem parte	den altgrisen man
er zogeten vngefvge	daz er vil lvot erscre
zvht des ivngen rechen	div tet Albriche we
Lvte rief der chvne	nv lazzet mich genesen
vn– moht ich iemens eigen	an einen rechen wesen
dem swor ich des eide	ich wære im vndertan
ich diende iv <e> ich stvrbe	so sprach der listige man
Do bant er Albrichen	alsam den risen ê
die Sifrides chrefte	taten im vil we
daz twerch begvnde vragen	wie sint ir genant
er sprach	ich bin ez Sifrit	ich wande ich wære iv wol bekant
So wol mich dirre mære	sprach aber daz getwerch
nv han ich wol erfvnden	div degenlichen werch
daz ir von waren schulden	mvget landes herre wesn
ich tvon swaz ir gebietet	daz ir lazet mich genesn
Do sprach der herre Sifrit	ir svlt balde gan
vn– bringet mir der rechen	der besten der wir han
tvsint Nibelunge	daz mich die hie gesehn
was er der aller wolde	des hort in niemen veriehn
Dem risen vn– Albrichen	lost er do div bant
do lief er harte balde	da er die rechen vant
er wacht in grozen <sorgen>	vil manigen chvnen man
er sprach	wol vf	ir helde	ir sult zv Sifride gan
Si sprungen von dem bette	vn– waren vil bereit
tvsint sneller degene	wrden wol gekleit
si chomen da si fvnden	Sifriden stan
da wart ein schone grvzen	ein teil mit vorhten getan
Vil kercen wart enzvndet	man schancht im luttertranch
daz si so balde chomen	des saget er in do danch
er sprach	ir mvzet hinnen	mit mir vber flvot
des vant er vil bereit	die helde chven vn– gvot
Wol <driezech> hundert rechen	die waren schiere komen
vz den wrden tusint	der besten <do> genomen
den braht man ir helme	vn– ander ir gewant
do er si fveren wolde	in daz Prvnhilde lant
Hort	ir gvten ritter	[20r]waz ich iv welle sagn
ir svlt vil richiv chleider	da ze hove tragen
da wir sehen mvzen	vi minnekliv wip
dar vmbe svlt ir zieren	mit gvter wæte den lip
Nv sprichet liht ein tvmber	ez mach wol lvge wesen
wie moehte so vil ritter	bi ein ander sin genesn
wa namen si die spise	wa namen si gewant
sine chvndenz niht verenden	vn– ob in dienten drizzech lannt
Sivrit was so riche	als ir wol habt gehort
im diente daz chunichriche	vn– Nibelunge hort
des gaber sinen degenen	vil vollechlich genvoch
wande sin wart doch niht minre	swie vil man von dem schatze
Vil frvo an einem morgen	hvben sie sih dan [ trvoch
waz sneller geverten	Sivrit do gewant
si fvrten ros div gvten	vn– herlich gewant
si chomen ritterliche	in daz Prvnhilt lant
Do stvnden in den venstern	div minneklichen kint
do sprach div kuniginne	weiz iemen wer die sint
die dort her gein vns vliezent	so verre vf ienem se
si fvrent segel riche	die sint noch wizzer danne ein sne
Do sprach der vogt von Rine	ez sint mine man
die het ich an der verte	hie nahe bi verlan
die han ich besendet	frowe	die sint chomen
der herlichen gesten	wart vil groze war genomen
Do sach man Sifride	vor in eime scheffe stan
in vil herlicher wæte	im volget manic man
do sprach div kuniginne	her chvnic	ir svlt mir sagen
sol ich die geste enpfahen	oder sol ich grvzen si verdagen
Ir svlt in begegene	sprach er	miht zvhten gan
ob wir si sehen gerne	daz si wol daz versten
do tet div kuniginne	daz ir der kunic geriet
Sifride mit dem grvoze	von den andern si do schiet
Man schvof in herberge	mit willen al zehant
do was so vil der geste	chomen in daz lant
daz si sich allenthalben	drvngen mit den scharn
do wolden die vil chvenen	zv den Burgonden varn
Do hiez div kuniginne	teilen sa zehant
golt vn– silber	ross vn– ovch gewant
den vremden vn– den chvnden	vil <manigem> werden man
des ir	<ir> vater hete	nach sime tode vil verlan
Si hiez ovch sagen von Rine	den rechen also her
daz si des schazzes næmen	minre oder mer
daz si daz mit ir brêhten	in Burgonden lant
des antwrt ir Hagene	in hohem mvte sa zehant
Vil edeliv kuniginne	iv si fvr war geseit
ez hat der kunic von Rine	golt vn– kleit
also vil ze gehene	daz wir des habn rat
daz wir iht hinnen fvren	iwer golt oder iwer wat
Nein	dvrch mine liebe	sprach daz magedin
ich wil mit mir hinnen	<fveren> zweinzich schrin
von golde vn– ovch siden	daz gebn sol min hant
so wir chomen vber	in daz Gvntheres lant
Do sprach div kuniginne	wem laz ich miniv lant
di sol nv hie bestiften	vnser beider hant
do sprach der kunic edele	[20v]nv heizet her gan
swer iv dar zvo gevalle	den svln wir vogt wesn lan
Ein ir hohsten mage	div frowe bi ir sach
er was ir mvter brvder	zv dem div maget sprach
nv lat iv sin bevolhen	die burge vn– ovch daz lant
vnze daz hie rihte	des kunich Guntheres hant
Do welt si ir gesindes	tvsint chvner man
die mit ir ze Rine	solden varn dan
zvo ienen tvsint rechen	von Nibelunge lant
si rihten sich zer verte	man sach sie riten vf den sant
Si fvrten mit ir dannen	sehs vn– ahzech wip
dar zvo wol hvndert mægede	vil schone was ir lip
sine sovmten sich niht langer	si ilten vaste dan
die si da heime liezen	hey was der weinen began
In tvgentlichen zuohten	si rvmt ir eigen lant
si chvst ir frivnt die nehsten	swaz si der bi ir vant
mit gvtem vrlovbe	si chomen vf den se
zvo zir vater lande	chome div frowe nimmer me
Do hort man vf der verte	maniger hande spil
aller kvrzewile	der heten si vil
do chome in zv zir reise	ein rehter wazzerwint
si fvren von dem lande	vil harte vrolichen sint
Iane wolde si den herren	niht minnen vf der vart
er wart ir kurzwile	vnz in sin hvs gespart
ze Wormez zv der burge	zeiner hochgecit
dar si vil frevden riche	chomen mit ir rechen sit
