<An> dem vierden morgen	zwen vn– drizzech man
Si sprach	mit kleinen siden	næ ich vf sin gewant
ein tovgenlichez cruce	da sol	helt	din hant
den minen man behveten	soz an die herte gat
vn– er in starchen sturmen	vor sinen vianden stat
Daz tvn ich	sprach do Hagene	vil liebiv frowe min
do wande ovch des div frowe	ez solde ir frvom sin
da mite was verraten	der vil chune man
vrlovp nam do Hagene	do gie er vroliche dan
Daz er revarn hete	bat im sin herre sagen
mvget ir die reise wenden	so suln wir riten iagen
ich han <nv> gar div mære	wie ich in gewinnen sol
mvget ir nv daz gefuege	daz tvon ich	sprach der kunic wohl
Des kuniges ingesinde	was allez wol gemvot
ich wæn immer rechen	deheiner mer getvot
so grozer meinrete	so von im ergie
do sich an sine triwe	Chriemh' div kuniginne verlie
An dem dritten morgen	mit tvsint siner man
reit der herre Sivrit	vroeliche dan
er wande solde rechen	siner friunde leit
Hagene im reit so nahen	daz er geschowet div kleit
Als er gesach daz pilde	do schicter tovgen dan
die sagten ander mære	zwene siner man
daz vride habn solde	Guntheres lant
si het der herre Livdeger	zvo dem kunige gesant
Wie vngerne Sivrit	do hin wider reit
ern getætes kuniges uinden	eteslichiv leit
wande in vil [35r]chvme erwanden	die Guntheres man
do reit er zv dem kunige	der wirt im danchen began
Nv lon iv got des willen	frivnt Sivrit

daz ir so willechlichen	tvot des ich ivch bite
daz sol ich immer dienen	als ich von rehte sol
vor allen minen frivnden	so getrwoe ich iv wol
Nv wir der hereverte	ledic worden sin
so wil ich iagen riten	von Wormez vber den Rin
vn– wil kurcewile	zem <Otenwalde> han
iagen mit den hunden	als ich vil dicke han getan
Allen minen gesten	den sol man daz sagen
daz ich vil frvo rite	die mit mir wellen iagen
daz si sich bereiten	die hie wellen bestan
hofschen mit den frowen	da si mir liebe getan
Do sprach der herre Sivrit	in herlichem site
swenne ir iagen ritet	da wil ich gerne mite
so svlt ir mir <lihen>	einen svochman
vn– eteslichen brachen	so rite ich mit iv in den tan
Bedurfet ir niht eines	sprach der kunic zehant
ich lihiv	welt ir	viere	den wol ist bechant
der walt vn– ovch die stige	swa div tiere hine gant
die ivch vrwise	nach vns riten niht enlant
Do die vil vngetriwen	vf geleiten sinen tot
si wistenz al gemeine	Giselher vn– Gernot
wolden niht iagen riten	ine weiz durch welhen nit
daz si in niht en warenden	idoch erarneten siz sit
