o si gevaren waren	volle niun tage 
wart vil wol becimbert	 durch manigen <fremeden> man 
disiu starke hochgecit	huop sich vil frolichen han
Do riten allenthalben	 die wege durch daz lant
der drier kvnige nmage	hete man besant 
daz si den solden warten	di in da solden komen 
da wart uz der valde	richer wate vil genomen
Do seite man div mere	daz man riten sach
Prunhilde vrivnde	 do huop sich vngemach
von des volches krefte	in Burgonden lant 
hei waz man kuener degne	da ce beiden siten vant
Dar komen do die reken	vnd hiezen tragen dar
herliche setele	von roten golde gar 
die die vrowen <solden> riten	ze Wormz an den Rin 
bezer phertgereite	 chvnde nimmer gesin
Hei	waz da liehtes goldes	von den moren schein 
in luhte von den zomen	vil manich edel stein 
die guldinen schamel	ob liehtem phelle guot 
die brahte man den frowen	si waren frolich gemvot
Sehs vnd ahcech vrovwen	 sach man fur gan 
die gebende truogen	 zuo Kriemhilde gan
chomen die vil schoene	vnd truogen richiv kleit 
dar kom ovch wol geciert	vil wetlichiv meit
Si trvgen riche phelle	die <besten> die man vant 
vor den vremden reken	so manic guot gewant 
daz ir schoenen varwe	ce rehte wol gezam 
er were in swachen muote	der ir deheiner werde gram
Von dobel vnd uon harme	vil chleider man da vant 
da wart vil wol gecieret	manic arm vnd hant
mit pogen ob den siden	 di si solden tragen 
iv enkvnde dice fliezen	ze ende niemnen gesagen
Vil manigen gurtel spæhe	rich vnde lanc 
vber liehtiv kleider	manich hant do swanc 
vf edel roeke ferrans	von pfelle vz Arabi 
den edeln iunchfrowen	was vil hoher vrovden bi	[22b]
Ez wart in furgespenge	manich schoe meit
genet vil minnecliche	ez mohte ir wesen leit 
der ir liehtiv varwe	niht luhte gen der <wat> 
so schoenes ingesindes	nv niht kvniges kvnne hat
Do die minnechlichen	 nv truogevn ir gewant 
di si da fueren solden	die komen dar zehant 
der hoch gemuoten rechen	ein vil michel kraft 
man truoch ovch dar mit schilden	manigen eschinen schaft
