Bloedelines> recken	di waren alle gar 
di sprvngen hin engegene	dem von Bvergonden lant 
Nv wolde got sprach Danchwart	moeht ich den boten han 
der minen brvder Hagenen	chvnde wizen lan 
daz ich vor disen rechen	sten in solher not 
der hvlfe mir von hinnen	oder er gelæge bi mir tot 
Do sprachen Hivnen recken	der bot mvstv sin 
so wir dich tragen toten	fver den brvder din 
so siht im erste leide	der Gvntheres man 
dv hast dem chvenege Ecel	so grozen schaden hi getan 
Er sprach nv lat daz drewen	vnde wichet hoher baz 
ia getvn ich etelichem	noch di ringe naz 
ich wil div mære selbe	hince hove sagen 
vnde wil ovh minen herren	minen grozen chvmber chlagen 
Er leidete sich so sere	den Eceln man 
daz si in mit den swerten	torsten niht bestan 
so shvzen si der gere	so vil in sinen rant 
daz er in dvrch di swære	mvse lazen von der hant 
Do wanden si in betwingen	do er niht schildes trvch 
hey waz er tiefer wnden	dvrch di shilde slvch 
des mvse vor im strvchen	vil manich chvener man 
dar vmbe lop vil grozen	der starche Danchwart gewan 
Ze beiden sinen siten	sprvngen si im zv 
ia chom ir islicher	in den strit ze frv 
do gi er vor den vienden	als ein eberswin 
ce walde tvt vor hvnden	wi moht er chvener gesin 
Sin vart wart erniwet	von heizem blvte naz 
iane chvnde ein einech recke	gestriten nimmer baz 
sinen vianden	danne er het getan 
man sach den Hagenen brvder	ce hove herlichen gan 
Trvhsæzen vnde shenchen	di horten swerte chlanch 
vil maneger do daz trinchen	von der hende swanch 
vnde etesliche spise	di man ze hove trvch 
do chom im vor der stiegen	der starchen viende genvch 
Wi nv ir trvhsæzen	sprach der mvede degen 
ia soldet ir der geste	vil gvetliche pflegen 
vnde soldet ir den her [389a] herren	gvte spise tragen 
vnde <liezet> mich den minen herren	div mære rehte sagen 
Swelher im dvrch sin ellen	fver di stiege spranch 
der slvch er eteslichem	so grimmen swertes swanch 
daz si dvrch di vorhte	vf hoher mvsen stan 
ez het sin <starche> ellen	vil michel wnder gatan 
