<Nv> laze wir beliben	wi si gefvren hie 
Do svcht er nah den vergen	wider vnd dan 
er horte wazer giezen	losen er began 
in einem schoenem brvnnen	daz taten wisiv wip 
di wolden sih da chvelen	vnd badeten ir lip 
Hagen wart innen	er sleich in tovgen nach 
do si daz versvnnen	do wart in dannen gach 
daz si im entrvnnen	des waren si vil her 
er nam in ir [366b] gewæte	der helt enschadete in niht mer 
Do sprach daz eine merewib	Hadebvrch was si genant 
edel ritter Hagene	wir tvon <iv> hie bechant 
swenne ir vns degen chvene	gebet widr vnser wat 
wi iv ze den Hivnen	disiv hovereise ergat 
Si swebten sam di vogele	vor im vf der flvt 
des dvhten in ir sinne	starch vnd gvt 
swaz si im sagen wolden	er gelovtez deste baz 
des er do hinz in gerte	vil wol bescheideten si im daz 
Si sprach ir mvegt wol riten	in Eceln lant 
des setze ich iv ce bvergen	mine triwe hi ce hant 
daz helde nie gefvoren	in deheiniv riche baz 
nach also grozen eren	nv gelovbet wærliche daz 
Der rede was do Hagene	in sinem hercen her 
do gap er in ir chleider	vnd svmte sich niht mer 
do si do an geliten	ir wnderlich gewant 
do sageten si im rehte	di reise in Ecelen lant 
Do sprach daz ander merewip	div hiez Sigelint 
ich wil dich warnen Hagen	daz Aldrianes chint 
dvrh der wæte liebe	hat min mvome dir gelogen 
chvemestv hin cen Hivnen	so bistv sere betrogen 
Ia soltv cheren widere	daz ist dir an der zit 
wand ir helde chvene	also geladet sit 
daz ir sterben mvezet	in Eceln lant 
swelhe dar geritent	di habent den tot an der hant 
Do sprach aber Hagene	ir trieget ane not 
wi moehtez sich gefvegen	daz wir alle tot 
solden da beliben	dvrh iemens haz 
si begonden im div mære	sagen chventlicher baz 
Do sprach aber div eine	ez mvz also wesen 
daz iwer deheiner	chan da niht genesen 
niwan des chveneges kappelan	daz ist vns wol bechant 
der chvemet gesvnt widere	in daz Gventheres lant 
Do sprach in grimmem mvote	der chvene Hagene 
daz wære minen [367a] herren	mvelich ce sagene 
daz wir alle cen Hivnen	solden vliesen den lip 
noch zeige vns verz wazer	daz aller wiseste wip 
Si sprach sit dv der verte	niht welles haben rat 
<swa> obene bi dem wazer	ein herberge stat 
da inne ist ein verge	vnd niender anderswa 
der mære der er vragte	der gelovbet er sich da 
Dem vngemvotem rechen	sprach div eine nach 
nv bitet noch her Hagene	ia ist iv gar ze gach 
ver nemet noch div mære	wir chvmet veber sant 
dirre marcherre	der ist Else genant 
Sin brvoder ist geheizen	der degen Gelfprat 
ein herre in Beyerlande	wi mvelich ez iv stat 
welt ir dvrh sine marche	ir svlt ivh wol bewarn 
vnd svlt ovch mit dem vergen	vil bescheidenliche varn 
Der ist so grimmes mvotes	er lat ivch niht genesen 
iren welt bi dem helde	mit gvoten sinnen wesen 
welt ir daz vber er <ivh> fvere	so gebet im den solt 
er hvetet disses landes	vnd ist Gelpfrade holt 
Vnde chvom er niht bezite	so rvffet veber flvt 
vnt ieht ir heizet Amelrich	der was ein helt gvt 
der dvrch fientschepfte	rvomte dizze lant 
so chvmt iv der verge	swenne im der nam wirt genant 
Der vebermvte Hagene	der vrowen do neich 
ern redete niht mere	wan daz er vaste sweich 
do gie er bi dem wazer	fver sich an den sant 
da er anderthalben	ein herberge vant 
Er begonde vaste rvoffen	hin veber den flvt 
nv hol mich hi verge	sprach der degen gvt 
so gip ich dir ce miete	einen bovch von golde rot 
ia ist mir dirre verte	daz wizest wærliche not 
Der verge was so riche	daz im niht dienen zam 
da von er lon selten	von iemen da genam 
ovch waren sine chnehte	vil harte hohgemvt 
noh stvnt allez Hagen	eine disehalp der flvt 
Do rvffte er mit der chreffte	daz al der wag erdoz 
wan des heldes sterche	was michel vnd groz 
nv hol mich Amelrichen	ich pin der Elsn [367b] man 
der dvrch starche fintschaft.	von <disem> lande entran 
Vil hohe an dem swerte	einen bovch er im bot 
lieht vnd schoene	was er von golde rot 
daz man in veber fvrte	in Gelpfrades lant 
der vebermvte verge	nam selb daz Rvder an di hant 
Ovch was der selbe verge	nivlich gehit 
div gvf nach grozem gvte	vil boese ende git 
do wold er verdienen	daz Hagenen golt so rot 
des leid er von dem degene	den swertgrimmigen tot 
Der verge ilte genote	hin vber an den sant 
den er dannen horte	do er des niht evant 
do zvrnde er ernslichen	als er Hagenen sach 
vil harte grimmechlich	er zv dem degen sprach 
Ir mvget wol sin gezeizen	benamen Amelrich 
des ich mich hie verwæne	dem sit ir vngelich 
<von> vater vnd von mvter	was er der brvder min 
nv ir mich betrogen habt	ir mvezet disehalp sin 
<nein> dvrch got den richen	sprach do Hagene 
ich bin ein recke vremde	vnt sorge vff degene 
<Nv> nemet hin vrivntliche	hivte minen solt 
daz ir mich vberfvret	ich pin iv wærlichen holt 
<do> sprach abe der verge	des mach niht gesin 
ez habent fiande	di lieben herren min 
<dar vmbe> ich niemen vremden	fvere in diz lant 
so liebe dir si ce lebene	so trit vil balde vz an den sant 
<nvne> tvtes <niht> sprach Hagene	wan trvrech ist min mvt 
nemet von mir ce minne	diz golt vil gvt 
vnt fvret vns veber tvsent ross	vnt also manigen man 
do sprach der grimme verge	ez wirdet nimmer getan 
Er hvp ein starchez rvder	michel vnd breit 
er slvch vf Hagenen	des wart er vngemeit 
daz er in dem schiffe	strvchte an siniv chnie 
so rehte grimmer verge	der chom dem Tronegær nie 
Do wolde er baz erzvrnen	den vbermvten gast 
er slvch im einen schalten	daz div gar cerbrast 
Hagen vber daz hovbet	er was ein starcher man 
da von der Elsen verge	grozen schaden da gewan [368a] 
Mit grimmegem mvte	greif Hagen zehant 
vil balde ze siner scheiden	da er ein waffen vant 
er slvch im ab daz hovbet	vnd varf ez an den grvnt 
div mære wrden schiere	den stolzen Bvrgonden <chvnt> 
In den selben stvnden	do er den schifman slvch 
daz shiff daz vloz en owe	daz was im leit genvch 
ê erz gerihte widere	mveden er began 
do zoh vil chrefftechliche	des chvenech Gventheres man 
Mit zvegen harte swinden	chert ez der gast 
vnz im daz starche rvder	in der <hende> brast 
er wolde zv den recken	vz an einen sant 
da was deheinez mere	hey wi schier erz da gebant 
Mit einem shilt vezel	daz was ein porte smal 
gegen einem walde	chert er hinze tal 
do vant er sinen herren	an dem stade stan 
do gie im hin engegen	vil manich wætlicher man 
Mit grvoze in wol enpfiengen	di snellen ritter gvt 
do sahens in dem shiffe	riechen daz blvt 
von einer starchen wnden	di er dem vergen slvch 
do wart von den degenen	gevraget Hagen genvch 
Do der kvenich Gventher	daz heize blvt ersach 
sweben in dem shiffe	wi balde er do sprach 
wan sagt ir mir Hagene	war ist der verge chomen 
iwer starchez ellen	ich wæn im daz leben hat benomen 
Do sprach er lovgenliche	da ich daz shif da vant 
bi den wilden widen	da lost ez min hant 
ich han deheinen vergen	hivte hie gesehen 
ez ist ovch niemen leide	von minen shvlden hi geschehen 
Do sprach von Bvrgonden	der herre Gernot 
hivte mvz ich sorgen	vf lieber frivnde tot 
sit wir der shifflivte	bereite nine han 
wi wir chvmen veber	des mvz ich trvrende stan 
Vil lvte rieff do Hagene	leit nider vf daz gras 
ir chnehte div gereite	ich gedenche daz ich was 
der aller beste verge	den man bi dem Rine vant 
ia getrwe ich ivch wol bringen	hinveber in Gelpfrades lant 
Daz si dester balder	choemen veber flvt 
div ross si an slvgen	daz swimmen daz wart gvt 
wand in div starch ven [368b] de	deheinez da benam 
etelichez owete verre	als ez mveden began 
Do trvgen si cem sheffe	ir golt vnd ovh ir wat 
sit daz si der verte	niht mohten haben rat 
Hagen was da meister	des fvrt er vff den sant 
vil manegen richen recken	in daz vnchvnde lant 
Zem ersten braht er veber	wol tvsent ritter her 
dar nach sine recken	dannoch was ir mer 
nivn tvsent knehte	fvrt er an daz lant 
des tages was vnmvezech	des Tronegeres hant 
Do er si wol gesvnde	brahte veber den flvt 
do gedahte vremder mære	der snelle degen gvt 
div im ê da sageten	div wilden merwip 
des het des chvneges kapelan	nach verlorn sinen lip 
Bi dem kappelsavme	er den pfaffen vant 
ob dem heilchtvme	er leinte an siner hant 
des moht er niht genizen	do in Hagen sach 
der gotes arme prieister	mvose liden vngemach 
Er swang in vz dem shiffe	dar zv wart im gach 
do rieffen ir genvge	<nv> vaha herre vach 
Giselher der ivnge	zvernen erz began 
ern wold iz doh niht lazzen	ir deheinen vnderstan 
Do sprach von Bvrgonden	der herre Gernot 
waz hilffet ivh nv Hagene	des kappelanes tot 
tæt ez ander iemen	daz sold iv wesen leit 
vmbe welhe shvlde	habt ir dem priester widerseit 
Der pfaffe swam genote	er wolde sin genesen 
ob im iemen hvelfe	des mohte da niht wesen 
wan der starche Hagene	vil zornech was gemvt 
er stiez in zv dem grvnde	daz dvhte niemene gvt 
Do der arme pfaffe	der helfe nine sach 
do chert er wider vebere	des leid er vngemach 
swi er niht swimmen chvnde	im half div gotes hant 
daz er wol <chom> gesvnder	hin wider vz an daz lant 
Do stvnt der arme priester	vnde schvtte sine wat 
da bi sach wol Hagen	daz sin niht wære rat 
daz im fver war sageten	div wilden merewip 
er dahte dise degene	mvezen verliesen den lip 
Do si daz shif entlvden	vnd gar getrvgen dan 
swaz dar vf heten	der drier [369a] chvenege man 
Hagen slvch ez ce stvchen	vnd warfez an den flvt 
des het michel wnder	di recken chvene vnde gvt 
Zwiv tvt ir daz brvder	so sprach Danchwart 
wi svl wir veber	so wir di widervart 
riten von den Hivnen	ze lande an den Rin 
sit do sagete in Hagene	daz des chvnde niht gesin 
Do sprach der helt von Tronege	ich tvn iz vf den wan 
ob wir an dirre reise	deheinen zagen han 
der vns entrinnen welle	dvrch zægeliche not 
der mvz an diesem wæge	doch liden schameliche tot 
Si fvrten mit in einen	vz Bvrgonden lant 
einen helt ce sinen handen	der was Volker genant 
der redete spæheliche	allen sinen mvt 
swaz ie begie der Hagene	daz dvht den videlære gvt 
Ir ross bereitet waren	di sovmer wol geladen 
si heten an der verte	noch deheinen schaden 
genomen der si mvete	wan des kveneges chappelan 
der mvse vffe sinen fvezen	hin wider zv dem Rine gan 
