Vor einer vespercite	hovp sich groz vngemach 
sagt mir liebiv vrowe	wer hat iv iht getan 
si sprach zv dem kvenige	ich mvz vnvroeliche stan 
Von allen minen eren mich div swester din 
gerne wolde scheiden	dir sol gechlaget sin 
si <iht> mich habe gechebset	Sifrit ir man 
do sprach der chvenech Gvnther	so hetes vebele getan 
Si treit hie minen gvrtel	den ich han verlorn 
vnd min golt daz rote	daz ich ie wart geborn 
daz riwet mich vil sere	dvne beredest chvenich mich 
der vil grozen schande	daz diene ich chvenech <immer> vmbe dich 
Do sprach der chvenich Gvnther	er sol her fver gan 
vnd hat er sis gervemet	daz sol er hoeren lan 
oder sin mvz lovgen	der helt von Niderlant 
den Criemhilde vriedel	den hiez man bringen sa cehant 
Do der herre Sifrit	di vngemveten sach 
ern wesse niht der mære	wi balde er do sprach 
waz weinent dise vrowen	daz het ich gerne erchant 
oder von welhen schvlden	mich der chvnich habe besant 
Do sprach der chvenich Gvnther	ia ist [330a] mir harte leit 
mir hat min vrowe Prvnnhilt	ein mære hie geseit 
dv habes dich des gervemet	daz dv ir schoenen lip 
aller erst habes geminnet	daz sagt Criemhilt din wip 
Do sprach der starche Sifrit	vnd hat si daz geseit 
ê daz ich erwinde	ez sol ir werden leit 
vnd wil dir daz enpfveren	vor allen dinen man 
mit minen hohen eiden	daz iches niht gesaget han 
Do sprach der chvnich von Rine	daz soltv lazen sehen 
den eit den dv da bivtest	vnt mach der hie geschehen 
aller valschen dinge	der wil ich dich ledich lan 
do hiez man zv dem ringe	 di stolzen bvrgvnden stan 
Sifrit der vil chvene	cem eide bot di hant 
do sprach der chvenich riche	mir ist so wol bechant 
iwer groz vnschvlde	ich wil iv ledich lan 
des ivch min swester zihet	daz ir des nine habt getan 
Do sprach aber Sifrit	genivzzet es min wip 
daz si hat <betrvebt>	den Prvennhilde lip 
daz ist mir sicherlichen	ane maze leit 
do sahen zv zeinander	di gvten ritter gemeit 
Man sol vrowen <ziehen>	sprach Sifrit der degen 
daz si vppechliche sprveche	lazen vnder wegen 
verbivtez dinem wibe	der minen tvn ich sam 
ir grozen vngefvge	ich mich wærliche sham 
Mit rede was gescheiden	manich schoene wip 
do trvret also sere	der Prvnnhilde lip 
daz ez varmen mvse	den Gvntheres man 
do chom von Tronege Hagene	zv siner vrowen gegan 
Er vragete waz ir wære	weinende er si vant 
do sagte si im div mære	er lobt ir sa cehant 
daz ez erarnen mvese	der Criemhilde man 
oder er wolde nimmer	dar vmbe vrolich gestan 
Zv der rede chom do	Ortwin vnt Gernot 
da di helde rieten	den Sifrides tot 
dar zv chom ovch Giselher	der edelen Vten chint 
do er ir rede gehorte	er sprach getriweliche sint 
Ir vil gvten recken	war vmbe tvt ir daz 
iane gediente Sifrit	nie alsolhen haz 
daz er dar vmbe solde	verliesen sinen lip 
ia ist es harte lihte	dar vmbe zvernent div wip 
Svln wir govche ziehen	sprach aber Hagene 
des habent vil lvecel ere	so [330b] gvte degene 
daz er sich hat gervemet	der lieben vrowen min 
dar vmbe wil ich sterben	ezen ge im an daz leben sin 
Do sprach der chvenich selbe	ern hat vns niht getan 
niwan gvt vnd ere	man sol in lebn lan 
waz tovch ob ich dem recken	nv wære gæhaz 
er was ie getriwe	vnd tet wil willechliche daz 
Do sprach von <Metzen>	der degen Ortwin 
iane mach in niht gehelffen	div groze sterche sin 
erlovbet mirz min herre	ich getv im leit 
do heten im di helde	ane schvlde widerseit 
Sin gevolgete niemen	niwan daz Hagen 
geriet in allen citen	Gvnther dem degene 
ob Sifride niht enlebte	wo wrde im vndertan 
vil der chvenege lande	der helt des trvren began 
Do liezen siz beliben	spiln man do sach 
hey waz man starcher scheffte	vor dem mvnster brach 
vor Sifrides wibe	al zv dem sale dan 
do waren in vmmvte	alle Gvntheres man 
Der chvenich sprach lat beliben	den mortlichen zorn 
er ist vns ce sælden	vnt ce eren geborn 
ovch ist so grimme starch	der wndern chvne man 
ob er sin innen werde	so torste in niemen bestan 
Nein er sprach do Hagene	ir mvget wol stille dagen 
ich getrwez heinliche	also wol an getragen 
daz Prvnnhilde weinen	sol im wesen leit 
ia sol im von Hagenen	immer wesen widerseit 
Do sprach der chvenich Gvnther	wi mach daz ergan 
des antwrte Hagene	ich wilz ivch horen lan 
wir heizen botten	zv zvns in diz lant 
widersagen offenliche	di hie nimen sin bechant 
So ieht ir vor den gesten	daz ir vnd iwer man 
wellet herverten	also daz ist getan 
so lobt er iv dar dienen	des vlivset er den lip 
so ervar ich vns div mære	ab des chvnen recken wip 
Der chvenich gevolgete vbele	Hagenen sinem man 
di starchen vntriwe	begonden tragen an 
ê iemen daz erfvnde	di ritter vz erchorn 
von zweier vrowen bagen	wart vil manich helt verlorn 
